collected_at_utc,source_type,company,title,location,team,url,external_id,posted_at,description_snippet
2026-04-04 13:06:00,ddg:jobs.smartrecruiters.com,01systems,01 SystemsDevSecOpsEngineer,,,https://jobs.smartrecruiters.com/01Systems/744000071680240-devsecops-engineer,ddg::https://jobs.smartrecruiters.com/01Systems/744000071680240-devsecops-engineer,,"We are seeking a detail-oriented and security-focusedDevSecOpsEngineer with experience building and maintaining CI/CD pipelines for .NET-based applications, databases..."
2026-04-04 13:06:00,ddg:apply.workable.com,1global,DevOpsEngineer- Cloud & On-Prem Infrastructure,,,https://apply.workable.com/1global/j/0446B95DBD/,ddg::https://apply.workable.com/1global/j/0446B95DBD/,,"As aDevOpsEngineer, you will design, deploy, and manage our runtime infrastructure, ensuring it is secure, scalable, and cost-efficient."
2026-04-04 13:06:00,ddg:apply.workable.com,1global,InfrastructureEngineer- Infrastructure & IP,,,https://apply.workable.com/1global/j/78E36FCDC5/,ddg::https://apply.workable.com/1global/j/78E36FCDC5/,,"Our hostedinfrastructureand global connectivity backbone, integrated with public clouds, aims to support the most demanding requirements for scalability, availability and security."
2026-04-04 13:06:00,ddg:jobs.smartrecruiters.com,?keyword=devops,SmartRecruiters Job Search,,,https://jobs.smartrecruiters.com/?keyword=devops,ddg::https://jobs.smartrecruiters.com/?keyword=devops,,"SeniorDevOpsEngineerwith Java & ETL experience -Bilingual (English/Korean). Woongjin, Inc.DevOpsEngineer- REF4459S. Deutsche Telekom IT Solutions. 19 hours ago."
2026-04-04 13:06:00,ddg:boards.greenhouse.io,a3c41b8b71eff8c4,SQL Server -Azure and Powershell Automation,,,https://boards.greenhouse.io/a3c41b8b71eff8c4/jobs/7687842003,ddg::https://boards.greenhouse.io/a3c41b8b71eff8c4/jobs/7687842003,,"21 hours ago·You'll partner cross-functionally with CloudOps, DevOps, and SRE teams to maximize uptime, optimize performance, and automate operational workflows."
2026-04-04 13:06:00,ddg:jobs.smartrecruiters.com,abcam,Abcam PlcPlatformEngineer| SmartRecruiters,,,https://jobs.smartrecruiters.com/Abcam/743999924894963-platform-engineer,ddg::https://jobs.smartrecruiters.com/Abcam/743999924894963-platform-engineer,,About the role. Join Abcam’s Digital team as aPlatformEngineer.
2026-04-04 13:06:00,ddg:apply.workable.com,accellor,AzureCloudEngineer- Accellor,,,https://apply.workable.com/accellor/j/9792B512E6/,ddg::https://apply.workable.com/accellor/j/9792B512E6/,,"Proven experience as aCloudEngineeror similar role, with a strong focus on Azure, including hands-on experience with Azure Data Factory. Strong knowledge of Azure services like Azure..."
2026-04-04 13:06:00,ddg:apply.workable.com,accellor,AzureCloudEngineer- Accellor,,,https://apply.workable.com/accellor/j/822421FA88/,ddg::https://apply.workable.com/accellor/j/822421FA88/,,"As the AzureCloudEngineer, you will be Assisting the design, implementation, and support of our Azure cloud infrastructure. You will work closely with cross-functional teams to ensure..."
2026-04-04 13:06:00,ddg:apply.workable.com,accellor,CloudDevopsEngineer- Accellor,,,https://apply.workable.com/accellor/j/37C62673ED/,ddg::https://apply.workable.com/accellor/j/37C62673ED/,,"CloudDevopsEngineer. Hybrid Engineering Full time.Strong leadership, communication, and teamwork abilities. Skills: Azure DevOps, ARM Templates, Terraform, Bicep."
2026-04-04 13:06:00,ddg:apply.workable.com,accellor,Senior Infrastructure/DevOpsEngineer- Accellor,,,https://apply.workable.com/accellor/j/D7F8AD3D0A,ddg::https://apply.workable.com/accellor/j/D7F8AD3D0A,,You should be a strong InfrastructureDevOpsEngineerwith ability to dig deeper into any part of the stack. In depth understanding of the fundamentals of distributed systems is a must.
